Maior65Anos,Conjuge,Dependentes,MesesDeContrato,TelefoneFixo,VariasLinhasTelefonicas,ServicoDeInternet,SegurancaOnline,BackupOnline,SeguroNoDispositivo,SuporteTecnico,TVaCabo,StreamingDeFilmes,TipoDeContrato,PagamentoOnline,FormaDePagamento,ContaMensal,Churn
1,Nao,Nao,1,Nao,SemServicoTelefonico,DSL,Nao,Nao,Sim,Nao,Nao,Sim,Mensalmente,Sim,ChequeDigital,39.65,Sim
0,Sim,Nao,12,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,UmAno,Nao,DebitoEmConta,19.8,Nao
0,Nao,Nao,1,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,Mensalmente,Nao,ChequePapel,20.15,Sim
0,Sim,Nao,58,Sim,Sim,DSL,Nao,Sim,Nao,Sim,Nao,Nao,DoisAnos,Sim,CartaoDeCredito,59.9,Nao
0,Sim,Sim,49,Sim,Nao,DSL,Sim,Sim,Nao,Sim,Nao,Nao,Mensalmente,Nao,CartaoDeCredito,59.6,Nao
0,Nao,Nao,30,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Nao,Nao,Mensalmente,Sim,DebitoEmConta,55.3,Nao
0,Sim,Sim,47,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Sim,Mensalmente,Sim,ChequeDigital,99.35,Sim
0,Sim,Sim,1,Nao,SemServicoTelefonico,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Mensalmente,Nao,ChequeDigital,30.2,Sim
0,Sim,Nao,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,DoisAnos,Sim,CartaoDeCredito,90.25,Nao
0,Nao,Sim,17,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Sim,Sim,Mensalmente,Sim,ChequePapel,64.7,Sim
1,Sim,Nao,71,Sim,Sim,FibraOptica,Sim,Sim,Sim,Sim,Nao,Nao,DoisAnos,Sim,CartaoDeCredito,96.35,Nao
1,Sim,Nao,2,Sim,Nao,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,Mensalmente,Sim,CartaoDeCredito,95.5,Nao
0,Sim,Sim,27,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Nao,Nao,UmAno,Nao,ChequePapel,66.15,Nao
0,Nao,Nao,1,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,Mensalmente,Nao,DebitoEmConta,20.2,Nao
1,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,DebitoEmConta,45.25,Nao
0,Sim,Sim,72,Sim,Sim,FibraOptica,Sim,Sim,Nao,Sim,Sim,Nao,DoisAnos,Nao,DebitoEmConta,99.9,Nao
0,Nao,Nao,5,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,ChequeDigital,69.7,Sim
0,Nao,Nao,46,Sim,Nao,FibraOptica,Nao,Nao,Sim,Nao,Nao,Nao,Mensalmente,Sim,CartaoDeCredito,74.8,Nao
0,Nao,Nao,34,Sim,Sim,FibraOptica,Nao,Sim,Sim,Nao,Sim,Sim,Mensalmente,Sim,ChequeDigital,106.35,Sim
0,Nao,Nao,11,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,Mensalmente,Sim,DebitoEmConta,97.85,Sim
0,Sim,Sim,10,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Nao,Nao,UmAno,Nao,ChequePapel,49.55,Nao
0,Sim,Sim,70,Sim,Sim,DSL,Sim,Sim,Nao,Nao,Sim,Nao,DoisAnos,Sim,CartaoDeCredito,69.2,Nao
0,Sim,Sim,17,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,UmAno,Nao,ChequePapel,20.75,Nao
0,Nao,Nao,63,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Nao,DoisAnos,Sim,CartaoDeCredito,79.85,Nao
0,Sim,Nao,13,Sim,Sim,DSL,Sim,Sim,Nao,Sim,Sim,Nao,Mensalmente,Sim,ChequeDigital,76.2,Nao
0,Nao,Nao,49,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Sim,ChequeDigital,84.5,Nao
0,Nao,Nao,2,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Mensalmente,Nao,ChequePapel,49.25,Nao
0,Nao,Nao,2,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Sim,Nao,Mensalmente,Sim,ChequeDigital,80.65,Sim
0,Nao,Nao,52,Sim,Sim,DSL,Sim,Nao,Nao,Sim,Sim,Sim,DoisAnos,Sim,CartaoDeCredito,79.75,Nao
0,Sim,Sim,69,Sim,Sim,DSL,Sim,Nao,Sim,Sim,Nao,Nao,DoisAnos,Sim,CartaoDeCredito,64.15,Nao
1,Nao,Nao,43,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Nao,Mensalmente,Sim,ChequeDigital,90.25,Nao
0,Nao,Nao,15,Sim,Nao,FibraOptica,Sim,Sim,Nao,Nao,Sim,Sim,Mensalmente,Sim,CartaoDeCredito,99.1,Sim
1,Sim,Nao,25,Sim,Sim,DSL,Sim,Nao,Nao,Sim,Sim,Nao,Mensalmente,Sim,CartaoDeCredito,69.5,Nao
1,Sim,Nao,8,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Nao,Nao,Mensalmente,Sim,CartaoDeCredito,80.65,Sim
1,Sim,Sim,60,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Nao,Sim,UmAno,Sim,CartaoDeCredito,74.85,Nao
1,Nao,Nao,18,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Sim,Sim,Mensalmente,Sim,ChequeDigital,95.45,Sim
0,Sim,Sim,63,Sim,Sim,FibraOptica,Sim,Nao,Nao,Nao,Sim,Sim,UmAno,Sim,CartaoDeCredito,99.65,Nao
1,Sim,Sim,66,Sim,Sim,FibraOptica,Nao,Sim,Sim,Sim,Sim,Sim,UmAno,Sim,ChequeDigital,108.45,Nao
0,Sim,Sim,34,Sim,Sim,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Nao,CartaoDeCredito,24.95,Nao
0,Nao,Nao,72,Sim,Sim,FibraOptica,Nao,Nao,Sim,Sim,Sim,Sim,DoisAnos,Sim,CartaoDeCredito,107.5,Nao
0,Sim,Nao,47,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,Mensalmente,Sim,ChequeDigital,100.5,Nao
0,Nao,Nao,60,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Nao,Mensalmente,Sim,DebitoEmConta,89.9,Nao
0,Sim,Nao,72,Nao,SemServicoTelefonico,DSL,Sim,Sim,Sim,Nao,Nao,Nao,DoisAnos,Nao,DebitoEmConta,42.1,Nao
0,Sim,Sim,18,Sim,Nao,DSL,Nao,Nao,Sim,Sim,Nao,Nao,UmAno,Sim,CartaoDeCredito,54.4,Nao
0,Nao,Nao,9,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Sim,Sim,Mensalmente,Nao,ChequeDigital,94.4,Sim
0,Nao,Nao,3,Sim,Nao,DSL,Nao,Sim,Nao,Sim,Sim,Sim,Mensalmente,Sim,ChequeDigital,75.3,Nao
0,Sim,Nao,47,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Nao,Nao,UmAno,Sim,ChequeDigital,78.9,Nao
0,Nao,Nao,31,Sim,Nao,DSL,Nao,Sim,Sim,Sim,Sim,Sim,DoisAnos,Nao,ChequePapel,79.2,Nao
0,Sim,Sim,50,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Nao,DebitoEmConta,20.15,Nao
0,Nao,Nao,10,Sim,Nao,FibraOptica,Sim,Nao,Sim,Nao,Nao,Nao,Mensalmente,Sim,ChequePapel,79.85,Nao
0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Nao,Nao,Mensalmente,Nao,ChequePapel,49.05,Nao
0,Sim,Sim,52,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,UmAno,Sim,ChequeDigital,20.4,Nao
1,Sim,Sim,64,Sim,Sim,FibraOptica,Sim,Nao,Sim,Sim,Sim,Sim,DoisAnos,Sim,DebitoEmConta,111.6,Nao
0,Sim,Sim,62,Sim,Sim,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Sim,DebitoEmConta,24.25,Nao
0,Nao,Sim,3,Sim,Nao,DSL,Sim,Nao,Nao,Sim,Nao,Sim,Mensalmente,Sim,DebitoEmConta,64.5,Nao
1,Nao,Nao,56,Sim,Sim,FibraOptica,Sim,Sim,Sim,Nao,Sim,Sim,UmAno,Nao,ChequeDigital,110.5,Nao
0,Nao,Nao,46,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Sim,UmAno,Nao,CartaoDeCredito,55.65,Nao
0,Sim,Sim,8,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Nao,Nao,Mensalmente,Nao,ChequePapel,54.65,Nao
1,Nao,Nao,30,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Sim,Sim,Mensalmente,Sim,ChequeDigital,74.75,Nao
0,Sim,Sim,45,Sim,Sim,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,UmAno,Sim,CartaoDeCredito,25.9,Nao
0,Nao,Sim,1,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Sim,Nao,Mensalmente,Sim,ChequeDigital,79.35,Sim
0,Sim,Sim,11,Nao,SemServicoTelefonico,DSL,Sim,Nao,Nao,Nao,Sim,Sim,Mensalmente,Nao,ChequeDigital,50.55,Nao
0,Sim,Nao,7,Sim,Nao,FibraOptica,Nao,Nao,Sim,Nao,Nao,Nao,Mensalmente,Sim,DebitoEmConta,75.15,Sim
0,Nao,Nao,42,Sim,Nao,FibraOptica,Nao,Sim,Sim,Sim,Sim,Sim,Mensalmente,Sim,DebitoEmConta,103.8,Nao
0,Sim,Nao,49,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Sim,DebitoEmConta,20.15,Nao
0,Nao,Nao,9,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Sim,Mensalmente,Sim,CartaoDeCredito,99.3,Nao
0,Sim,Nao,35,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Sim,Nao,UmAno,Sim,DebitoEmConta,62.15,Nao
0,Sim,Sim,48,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Nao,DebitoEmConta,20.65,Nao
0,Sim,Sim,46,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Sim,ChequePapel,19.95,Nao
0,Sim,Nao,29,Nao,SemServicoTelefonico,DSL,Nao,Nao,Nao,Nao,Sim,Nao,Mensalmente,Nao,ChequePapel,33.75,Nao
0,Sim,Sim,30,Sim,Nao,FibraOptica,Nao,Sim,Sim,Nao,Nao,Nao,Mensalmente,Nao,DebitoEmConta,82.05,Nao
1,Nao,Nao,1,Sim,Nao,FibraOptica,Nao,Nao,Nao,Sim,Nao,Nao,Mensalmente,Nao,ChequeDigital,74.7,Nao
0,Sim,Sim,66,Sim,Sim,DSL,Sim,Nao,Sim,Sim,Sim,Sim,DoisAnos,Sim,ChequePapel,84.0,Nao
0,Nao,Nao,65,Sim,Sim,FibraOptica,Sim,Sim,Sim,Nao,Sim,Sim,Mensalmente,Sim,CartaoDeCredito,111.05,Nao
0,Nao,Nao,72,Sim,Sim,FibraOptica,Nao,Sim,Sim,Nao,Sim,Sim,DoisAnos,Sim,DebitoEmConta,100.9,Nao
0,Nao,Nao,12,Sim,Sim,FibraOptica,Sim,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,ChequeDigital,78.95,Sim
0,Sim,Sim,71,Sim,Sim,DSL,Sim,Sim,Nao,Sim,Nao,Nao,UmAno,Sim,CartaoDeCredito,66.85,Nao
0,Nao,Nao,5,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,Mensalmente,Nao,ChequePapel,21.05,Sim
0,Nao,Nao,52,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Nao,DebitoEmConta,21.0,Nao
1,Sim,Nao,25,Sim,Nao,FibraOptica,Nao,Sim,Sim,Nao,Sim,Sim,Mensalmente,Sim,ChequeDigital,98.5,Sim
0,Nao,Nao,1,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,Mensalmente,Nao,ChequePapel,20.2,Nao
0,Sim,Sim,1,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,Mensalmente,Nao,ChequeDigital,19.45,Nao
0,Nao,Nao,38,Sim,Sim,FibraOptica,Nao,Nao,Sim,Sim,Sim,Nao,UmAno,Nao,DebitoEmConta,95.0,Nao
1,Sim,Nao,66,Nao,SemServicoTelefonico,DSL,Nao,Sim,Sim,Nao,Sim,Nao,UmAno,Nao,DebitoEmConta,45.55,Nao
0,Sim,Nao,68,Sim,Sim,FibraOptica,Nao,Sim,Sim,Sim,Sim,Sim,DoisAnos,Sim,DebitoEmConta,110.0,Sim
0,Nao,Nao,5,Nao,SemServicoTelefonico,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,ChequePapel,24.3,Nao
0,Sim,Sim,72,Sim,Sim,FibraOptica,Sim,Sim,Nao,Nao,Sim,Sim,UmAno,Sim,ChequeDigital,104.15,Nao
0,Nao,Nao,32,Nao,SemServicoTelefonico,DSL,Sim,Nao,Nao,Nao,Nao,Nao,UmAno,Nao,ChequePapel,30.15,Nao
0,Nao,Nao,43,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Sim,Sim,UmAno,Nao,ChequePapel,94.35,Nao
0,Sim,Sim,72,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Nao,CartaoDeCredito,19.4,Nao
0,Sim,Nao,55,Sim,Sim,FibraOptica,Sim,Sim,Nao,Nao,Sim,Nao,Mensalmente,Sim,ChequeDigital,96.75,Sim
0,Nao,Nao,52,Sim,Nao,DSL,Sim,Nao,Sim,Sim,Nao,Nao,UmAno,Nao,CartaoDeCredito,57.95,Nao
0,Nao,Nao,43,Sim,Nao,FibraOptica,Nao,Sim,Sim,Nao,Sim,Nao,Mensalmente,Sim,ChequeDigital,91.65,Nao
1,Sim,Nao,37,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,ChequeDigital,76.5,Sim
0,Sim,Sim,64,Nao,SemServicoTelefonico,DSL,Nao,Sim,Nao,Sim,Sim,Sim,DoisAnos,Sim,ChequeDigital,54.6,Nao
0,Sim,Sim,3,Sim,Nao,FibraOptica,Sim,Sim,Nao,Nao,Sim,Nao,Mensalmente,Nao,ChequeDigital,89.85,Nao
0,Nao,Nao,36,Nao,SemServicoTelefonico,DSL,Sim,Nao,Nao,Nao,Nao,Nao,DoisAnos,Nao,DebitoEmConta,31.05,Nao
0,Sim,Sim,10,Sim,Sim,FibraOptica,Sim,Nao,Nao,Nao,Sim,Sim,Mensalmente,Sim,ChequeDigital,100.25,Sim
0,Nao,Nao,41,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Nao,ChequePapel,20.65,Nao
0,Sim,Sim,27,Sim,Sim,FibraOptica,Nao,Sim,Nao,Sim,Nao,Nao,Mensalmente,Sim,CartaoDeCredito,85.2,Nao
0,Sim,Sim,56,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,UmAno,Sim,CartaoDeCredito,99.8,Nao
0,Nao,Nao,6,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,Mensalmente,Nao,ChequePapel,20.7,Nao
0,Nao,Nao,3,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,ChequeDigital,74.4,Sim
0,Sim,Sim,7,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,ChequePapel,50.7,Nao
0,Sim,Sim,4,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,Mensalmente,Nao,ChequePapel,20.85,Nao
0,Nao,Nao,33,Sim,Nao,FibraOptica,Sim,Nao,Nao,Sim,Sim,Nao,DoisAnos,Sim,ChequeDigital,88.95,Nao
1,Nao,Nao,27,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Nao,Nao,Mensalmente,Sim,ChequeDigital,78.05,Sim
0,Sim,Nao,72,Sim,Sim,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Sim,DebitoEmConta,23.55,Nao
0,Nao,Nao,1,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,Mensalmente,Nao,ChequePapel,19.75,Nao
1,Nao,Nao,71,Nao,SemServicoTelefonico,DSL,Sim,Sim,Nao,Nao,Sim,Sim,UmAno,Sim,ChequeDigital,56.45,Nao
0,Nao,Nao,13,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Sim,ChequeDigital,85.95,Nao
0,Sim,Sim,25,Nao,SemServicoTelefonico,DSL,Sim,Sim,Sim,Nao,Sim,Sim,Mensalmente,Sim,CartaoDeCredito,58.6,Sim
0,Nao,Nao,67,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Nao,Nao,DoisAnos,Nao,DebitoEmConta,50.55,Nao
0,Nao,Nao,1,Nao,SemServicoTelefonico,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Sim,ChequeDigital,35.45,Sim
0,Nao,Nao,2,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,ChequeDigital,44.35,Sim
0,Nao,Nao,43,Sim,Sim,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Sim,CartaoDeCredito,25.7,Nao
0,Nao,Nao,23,Sim,Nao,FibraOptica,Sim,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,DebitoEmConta,75.0,Nao
0,Sim,Sim,64,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Nao,ChequePapel,20.2,Nao
0,Nao,Sim,57,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Sim,ChequePapel,19.6,Nao
1,Sim,Nao,1,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,ChequePapel,70.45,Sim
1,Sim,Sim,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,DoisAnos,Sim,CartaoDeCredito,88.05,Nao
0,Nao,Nao,8,Sim,Sim,DSL,Sim,Nao,Nao,Sim,Nao,Sim,Mensalmente,Nao,ChequeDigital,71.15,Sim
0,Sim,Nao,61,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Sim,DoisAnos,Sim,DebitoEmConta,101.05,Nao
0,Nao,Nao,64,Sim,Sim,FibraOptica,Sim,Sim,Nao,Nao,Nao,Nao,UmAno,Sim,CartaoDeCredito,84.3,Nao
1,Sim,Nao,71,Sim,Sim,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Nao,DebitoEmConta,23.95,Nao
0,Sim,Sim,65,Sim,Sim,FibraOptica,Sim,Sim,Nao,Sim,Sim,Nao,DoisAnos,Sim,CartaoDeCredito,99.05,Nao
0,Nao,Nao,3,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,UmAno,Nao,ChequePapel,19.6,Nao
0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,ChequeDigital,45.65,Sim
0,Nao,Sim,30,Sim,Nao,DSL,Nao,Sim,Sim,Nao,Sim,Nao,UmAno,Nao,CartaoDeCredito,64.5,Nao
0,Sim,Sim,15,Sim,Nao,DSL,Nao,Sim,Sim,Sim,Nao,Sim,Mensalmente,Sim,ChequePapel,69.5,Nao
0,Sim,Sim,8,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Sim,Sim,Mensalmente,Sim,ChequeDigital,68.55,Nao
0,Nao,Nao,7,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Sim,Sim,Mensalmente,Nao,ChequePapel,95.0,Sim
0,Sim,Sim,70,Sim,Sim,FibraOptica,Sim,Sim,Sim,Nao,Sim,Sim,UmAno,Sim,CartaoDeCredito,108.15,Nao
0,Sim,Sim,62,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Sim,DoisAnos,Nao,ChequeDigital,86.1,Nao
0,Sim,Sim,6,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,Mensalmente,Nao,ChequePapel,19.7,Nao
0,Sim,Sim,14,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Sim,DebitoEmConta,80.9,Nao
0,Nao,Nao,22,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Sim,Nao,Mensalmente,Sim,DebitoEmConta,84.15,Nao
0,Sim,Sim,22,Sim,Nao,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,UmAno,Nao,ChequePapel,20.15,Nao
0,Sim,Sim,16,Sim,Nao,DSL,Sim,Nao,Sim,Nao,Sim,Nao,DoisAnos,Nao,ChequePapel,64.25,Nao
0,Nao,Nao,10,Sim,Sim,Nao,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,SemServicoDeInternet,DoisAnos,Nao,DebitoEmConta,25.7,Nao
